chr1:12610581-12620582 for	chr1:12644296-12654297 rev
chr1:16173622-16181114 for	chr1:16178337-16185829 for
chr1:16180200-16191234 for	chr1:16189620-16200654 for
chr1:16175485-16181114 for	chr1:16189620-16195249 for
chr1:103443152-103451862 for	chr1:103525773-103534483 rev
chr1:103453657-103460055 for	chr1:103517578-103523976 rev
chr1:103658260-103665613 for	chr1:103752390-103759743 for
chr1:103469992-103477345 for	chr1:103752390-103759743 for
chr1:103477422-103483236 for	chr1:103566824-103572638 rev
chr1:103488024-103499980 for	chr1:103676301-103688257 for
chr1:103488191-103503641 for	chr1:103546398-103561848 rev
chr1:103504126-103509521 for	chr1:103786537-103791932 for
chr1:103530457-103537831 for	chr1:103718735-103726109 for
chr1:103624603-103631977 for	chr1:103718735-103726109 for
chr1:103540496-103546397 for	chr1:103634640-103640541 for
chr1:103582336-103587974 for	chr1:103744484-103750122 rev
chr1:103588170-103605477 for	chr1:103682304-103699611 for
chr1:103632849-103648342 rev	chr1:103682304-103697797 for
chr1:103605476-103619940 for	chr1:103699609-103714073 for
chr1:103623174-103634036 for	chr1:103717306-103728168 for
chr1:103634663-103655880 for	chr1:103676580-103697797 rev
chr1:103540519-103546397 for	chr1:103676580-103682458 rev
chr1:103655898-103669560 for	chr1:103750028-103763690 for
chr1:103669611-103676342 for	chr1:103763741-103770472 for
chr1:103676580-103685371 for	chr1:103770714-103779505 for
chr1:103634663-103655880 rev	chr1:103770714-103791931 for
chr1:103734190-103741220 for	chr1:103779506-103786536 rev
chr1:103676297-103685371 for	chr1:103770431-103779505 for
chr1:108301532-108307423 for	chr1:108454115-108460006 rev
chr1:120313699-120319382 for	chr1:120605847-120611530 rev
chr1:120323726-120328831 for	chr1:120596385-120601490 rev
chr1:122279189-122286067 for	chr1:122285989-122292867 for
chr1:122398720-122404832 for	chr1:122427944-122434056 for
chr1:122404766-122413651 for	chr1:122428216-122437101 for
chr1:122398992-122404832 for	chr1:122428216-122434056 for
chr1:122413652-122420643 for	chr1:122437102-122444093 for
chr1:122483874-122500684 for	chr1:122528745-122545555 for
chr1:122500685-122528031 for	chr1:122545556-122572902 for
chr1:122596027-122601280 for	chr1:122603168-122608421 for
chr1:122619481-122627388 for	chr1:122756813-122764720 for
chr1:122622209-122631998 for	chr1:122629687-122639476 for
chr1:122694897-122712395 for	chr1:122723802-122741300 for
chr1:122704978-122713054 for	chr1:122741026-122749102 for
chr1:122733883-122741300 for	chr1:122741026-122748443 for
chr1:122749603-122756470 for	chr1:122758440-122765307 for
chr1:122621108-122627388 for	chr1:122758440-122764720 for
chr1:122751886-122760763 for	chr1:122769220-122778097 for
chr1:122769261-122774266 for	chr1:122778098-122783103 for
chr1:122634867-122639965 for	chr1:122782055-122787153 for
chr1:122834251-122839425 for	chr1:123094936-123100110 for
chr1:122918348-122924210 for	chr1:123185153-123191015 for
chr1:122947490-122952628 for	chr1:122962446-122967584 for
chr1:122953305-122958938 for	chr1:122975400-122981033 for
chr1:123031873-123042896 for	chr1:123303106-123314129 for
chr1:123047963-123054151 for	chr1:123054071-123060259 for
chr1:123117379-123124995 for	chr1:123140839-123148455 for
chr1:123126822-123134090 for	chr1:123150282-123157550 for
chr1:123162617-123169924 for	chr1:123174177-123181484 for
chr1:123054191-123060332 for	chr1:123325424-123331565 for
chr1:123048083-123054151 for	chr1:123325424-123331492 for
chr1:123427422-123438207 for	chr1:123439659-123450444 for
chr1:123487163-123495778 for	chr1:123497021-123505636 for
chr1:123579746-123586096 for	chr1:123585864-123592214 for
chr1:124104480-124109732 for	chr1:124109582-124114834 for
chr1:124629268-124635384 for	chr1:124649658-124655774 for
chr1:125632664-125639476 for	chr1:125640820-125647632 for
chr1:125630625-125637437 for	chr1:125640820-125647632 for
chr1:124648691-124656056 for	chr1:125627663-125635028 for
chr1:124638496-124644192 for	chr1:125627663-125633359 for
chr1:124656590-124661686 for	chr1:125635562-125640658 for
chr1:125627406-125635155 for	chr1:125629445-125637194 for
chr1:124638239-124644192 for	chr1:125629445-125635398 for
chr1:124976367-124985639 for	chr1:124985546-124994818 for
chr1:125082153-125088606 for	chr1:125088614-125095067 for
chr1:125130131-125136515 for	chr1:125136589-125142973 for
chr1:125169486-125175166 for	chr1:125198049-125203729 for
chr1:125186567-125194042 for	chr1:125188948-125196423 for
chr1:125188948-125194042 for	chr1:125191329-125196423 for
chr1:125591327-125596872 for	chr1:125596767-125602312 for
chr1:125626999-125637600 for	chr1:125629038-125639639 for
chr1:124637832-124644192 for	chr1:125629038-125635398 for
chr1:125630464-125638619 for	chr1:125640659-125648814 for
chr1:125628425-125636580 for	chr1:125640659-125648814 for
chr1:125697827-125708473 for	chr1:125708366-125719012 for
chr1:125731895-125736899 for	chr1:125740394-125745398 for
chr1:125998192-126005309 for	chr1:126094693-126101810 for
chr1:126011594-126018067 for	chr1:126108095-126114568 for
chr1:126018068-126034553 for	chr1:126114569-126131054 for
chr1:126039834-126045603 for	chr1:126134294-126140063 for
chr1:126049137-126055769 for	chr1:126143597-126150229 for
chr1:126058102-126064665 for	chr1:126152562-126159125 for
chr1:126127789-126133185 for	chr1:126136235-126141631 for
chr1:126217004-126222568 for	chr1:126221756-126227320 for
chr1:126284585-126290113 for	chr1:126290022-126295550 for
chr1:126359630-126367031 for	chr1:126368960-126376361 for
chr1:126424205-126430858 for	chr1:126431669-126438322 for
chr1:126463488-126476549 for	chr1:126469086-126482147 for
chr1:126469086-126476549 for	chr1:126474684-126482147 for
chr1:126503434-126513299 for	chr1:126510898-126520763 for
chr1:126985435-126992070 for	chr1:126997708-127004343 for
chr1:127012844-127018348 for	chr1:127018286-127023790 for
chr1:127045030-127050627 for	chr1:127049225-127054822 for
chr1:127065758-127070800 for	chr1:127076078-127081120 for
chr1:127254098-127259790 for	chr1:127284149-127289841 for
chr1:127259791-127265927 for	chr1:127289842-127295978 for
chr1:127265928-127275248 for	chr1:127295979-127305299 for
chr1:127271174-127276993 for	chr1:127293068-127298887 for
chr1:127471303-127481036 for	chr1:127479673-127489406 for
chr1:128774513-128789160 for	chr1:128999063-129013710 rev
chr1:128799449-128805118 for	chr1:128983105-128988774 rev
chr1:128809784-128825028 for	chr1:128963192-128978436 rev
chr1:129206801-129212782 for	chr1:129212233-129218214 for
chr1:129939346-129944721 for	chr1:129946052-129951427 for
chr1:129984471-129990359 for	chr1:130017974-130023862 for
chr1:130297455-130305351 for	chr1:130314746-130322642 for
chr1:130307500-130313768 for	chr1:130322547-130328815 for
chr1:130370173-130379200 for	chr1:130385687-130394714 for
chr1:130718516-130723931 for	chr1:130723113-130728528 for
chr1:130767967-130773655 for	chr1:130776779-130782467 for
chr1:130969278-130976205 for	chr1:130987865-130994792 for
chr1:130976206-130984956 for	chr1:130994793-131003543 for
chr1:131060402-131066363 for	chr1:132424814-132430775 for
chr1:131452793-131458164 for	chr1:132468136-132473507 for
chr1:131131199-131137059 for	chr1:131468357-131474217 for
chr1:131139797-131145219 for	chr1:131476950-131482372 for
chr1:131160662-131167356 for	chr1:131501493-131508187 for
chr1:131175446-131181897 for	chr1:131522668-131529119 for
chr1:131183848-131189303 for	chr1:132521642-132527097 for
chr1:131205567-131212574 for	chr1:132543361-132550368 for
chr1:131226183-131240199 for	chr1:132605233-132619249 for
chr1:131254027-131260467 for	chr1:131635864-131642304 for
chr1:131269457-131275464 for	chr1:131651294-131657301 for
chr1:131278326-131283651 for	chr1:131660163-131665488 for
chr1:131281261-131287929 for	chr1:131664874-131671542 for
chr1:131290699-131296947 for	chr1:131674312-131680560 for
chr1:131296948-131302520 for	chr1:131680561-131686133 for
chr1:131315994-131321421 for	chr1:132685026-132690453 for
